"Application ID","Registration Number","Candidate Name","Correction Status","Correction Note","Issues","Requested At","Submitted At"
"BR-2026-25881","BPR226000002","Piyush Nagose","none","","","",""
"BR-2026-49126","BPR226000001","Piyush Nagose","none","","","",""
"BR-2026-72695","JC226000001","Toshit Nagose","resolved","Candidate correction accepted by reviewer.","Personal Details:Full Name:resolved","10 Aug 2026, 06:20 pm","10 Aug 2026, 06:45 pm"
"BR-2026-68423","","Piyush Nagose","none","","","",""
"BR-2026-84364","JPSC26000002","Piyush Nagose","none","","","",""
"BR-2026-14074","JPSC26000001","Piyush Nagose","none","","","",""
"BR-2026-29435","","Piyush Nagose","none","","","",""
"BR-2026-26717","","Piyush Nagose","none","","","",""
"BR-2026-22191","","Piyush Nagose","none","","","",""
"BR-2026-99781","","harsh vishwakarma","none","","","",""
"BR-2026-11734","","harsh vishwakarma","none","","","",""
"BR-2026-84295","","Piyush Nagose","submitted","","","09 Jun 2026, 09:10 pm","09 Jun 2026, 09:11 pm"
"BR-2026-39519","","jsnajsjabd","in_progress","","","09 Jun 2026, 01:03 pm",""
"BR-2026-14292","","srajal vishwakarma","none","","","",""
"BR-2026-31759","","srajal vishwakarma 1","in_progress","","","09 Jun 2026, 10:09 am",""
"BR-2026-38988","","rajeshwari","none","","","",""
"BR-2026-79346","","srajal vishwakarma","none","","","",""
"BR-2026-16926","","srajal vishwakarma","none","","","",""
"BR-2026-86781","","srajal Vishwakarma","none","","","",""
"BR-2026-76095","","srajal vishwakarma","none","","","",""
"BR-2026-43410","","juhkjnn","none","","","",""
"BR-2026-47187","","srajal vishwakarma","","","","",""
"BR-2026-18758","","Piyush Nagose","","","","",""
"BR-2026-20948","","srajal vishwakarma","none","","","",""
"BR-2026-76477","","srajal vishwakarma","none","","","",""
"BR-2026-40495","","srajal vishwakarma","","","","",""
"BR-2026-79601","","","","","","",""
"BR-2026-28290","","bxnsdmsd","","","","",""
"BR-2026-33346","","","","","","",""
"BR-2026-78006","","","","","","",""
"BR-2026-42040","","srajal  vishwakarma","","","","",""
"BR-2026-23560","","srajal vishwakarma","","","","",""
"BR-2026-85378","","","","","","",""
"BR-2026-66969","","","","","","",""
